OBJECTID,id,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INST,altitud,latitud,longitud,DEPARTAMEN,MUNICIPIO,AREA_OPERA,AREA_HIDRO,ZONA_HIDRO,observacio,CORRIENTE,FECHA_SUSP,SUBZONA_HI,ENTIDAD,COMID
133.00000000000,23017040.00000000000,ESPERANZA LA [23017040],Limnigráfica,Automática con Telemetría,Activa,1988/09/15,550.00000000000,5.20616667000,-74.91372222000,Tolima,Mariquita,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,,Guali,,Río Gualí,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009758"
136.00000000000,54017040.00000000000,TADO - AUT [54017040],Limnigráfica,Automática con Telemetría,Activa,1973/08/15,95.00000000000,5.26511111000,-76.56275000000,Chocó,Tadó,Area Operativa 09 - Cauca-Valle-Caldas,Pacifico,San Juán,,San Juan,,Río San Juan Alto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009345"
148.00000000000,35217030.00000000000,PUENTE LA CABANA [35217030],Limnigráfica,Automática con Telemetría,Activa,1979/12/15,497.00000000000,5.43794444000,-72.45522222000,Casanare,Yopal,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Cravo Sur,,Río Cravo Sur,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009133"
149.00000000000,23037010.00000000000,PUERTO SALGAR - AUT [23037010],Limnigráfica,Automática con Telemetría,Activa,1936/01/15,186.00000000000,5.46966667000,-74.66216667000,Cundinamarca,Puerto Salgar,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,,Magdalena,,Directos al Magdalena entre Ríos Seco y Negro (md),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009027"
153.00000000000,23067060.00000000000,TOBIA  - AUT [23067060],Limnigráfica,Automática con Telemetría,Activa,1986/12/14,620.00000000000,5.12530556000,-74.44705556000,Cundinamarca,Nimaima,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Magdalena Cauca,Medio Magdalena,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,Negro,,Río Negro,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009696"
156.00000000000,35217060.00000000000,PLAYON EL [35217060],Limnigráfica,Automática con Telemetría,Activa,2016/12/15,271.00000000000,5.54050000000,-72.23172222000,Casanare,Nunchía,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Tocaria,,Río Cravo Sur,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009130"
159.00000000000,35167010.00000000000,HATO LAGUNA - AUT [35167010],Limnigráfica,Automática con Telemetría,Activa,2016/12/31,3020.00000000000,5.58444444000,-72.90008333000,Boyacá,Aquitania,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Las Cintas,,Lago de Tota,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009050"
164.00000000000,23057140.00000000000,SAN MIGUEL - AUT [23057140],Limnigráfica,Automática con Telemetría,Activa,1974/08/15,176.00000000000,5.73102778000,-74.72583333000,Antioquia,Sonsón,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,,La Miel,,Río La Miel (Samaná),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9008331"
165.00000000000,26187040.00000000000,QUITASUENO  - AUT [26187040],Limnigráfica,Automática con Telemetría,Activa,2014/03/09,560.00000000000,5.72113889000,-75.55258333000,Caldas,Aguadas,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Cauca,Correcciones solicitadas por actualizaciones en automatización,Arma,,Río Arma,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9008413"
172.00000000000,26207080.00000000000,BOLOMBOLO [26207080],Limnigráfica,Automática con Telemetría,Activa,1971/10/15,1750.00000000000,5.97000000000,-75.84000000000,Antioquia,Venecia (Antioquia),Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Cauca,Estación Homologada con BOLOMBOLO [26200130]. Datos Transferidos desde 15/05/1980.,Cauca,,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9007779"
173.00000000000,23097030.00000000000,PUERTO BERRIO - AUT [23097030],Limnigráfica,Automática con Telemetría,Activa,1936/01/15,111.00000000000,6.48513889000,-74.40116667000,Antioquia,Puerto Berrío,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,,Magdalena,,Rió San Bartolo y otros directos al Magdalena Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9006790"
175.00000000000,23127020.00000000000,PUERTO ARAUJO - AUT [23127020],Limnigráfica,Automática con Telemetría,Activa,1965/10/15,92.00000000000,6.52555556000,-74.08583333000,Santander,Cimitarra,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,,Carare,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9006893"
178.00000000000,23087210.00000000000,CANTERAS - AUT [23087210],Limnigráfica,Automática con Telemetría,Activa,1973/07/15,1274.00000000000,6.27608333000,-74.67330556000,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,,Nare,,Río Nare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9007255"
183.00000000000,16027300.00000000000,PUENTE CAPIRA - AUT [16027300],Limnigráfica,Automática con Telemetría,Activa,2004/11/15,1320.00000000000,7.53719444000,-72.77113889000,Norte de Santander,Cucutilla,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,,Zulia,,Río Zulia,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9005222"
190.00000000000,37057020.00000000000,ALCARAVAN  AUT [37057020],Limnigráfica,Automática con Telemetría,Activa,1997/11/14,162.00000000000,7.03500000000,-71.41638889000,Arauca,Arauquita,Area Operativa 08 - Santanderes-Arauca,Orinoco,Arauca,"Con orfeo 20197080001663 enviado por la coordinadora del área operativa se pide entre otras, la corrección de categoría, estados y tecnología de algunas estaciones del área operativa",Arauca,,Rio Banadia y otros Directos al Río Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9005767"
193.00000000000,25017010.00000000000,MONTELIBANO - AUT [25017010],Limnigráfica,Automática con Telemetría,Activa,1973/04/15,40.00000000000,7.98797222000,-75.41733333000,Córdoba,Montelíbano,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,,San Jorge,,Alto San Jorge,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9003998"
196.00000000000,27037010.00000000000,LA ESPERANZA NECHI [27037010],Limnigráfica,Automática con Telemetría,Activa,1975/03/09,33.00000000000,8.03000000000,-74.79000000000,Antioquia,Nechí,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Estacion Homologada con LA ESPERANZA RADIO [25021480]. Datos Transferidos desde 15/03/1979.,Nechi,,Directos al Bajo Nechí (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9004014"
197.00000000000,27037030.00000000000,SAN JUAN NECHI - AUT [27037030],Limnigráfica,Automática con Telemetría,Activa,1976/05/14,180.00000000000,7.47500000000,-74.92083333000,Antioquia,Zaragoza,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Correcciones solicitadas por actualizaciones en automatización,Nechi,,Directos al Bajo Nechí (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9004968"
198.00000000000,23207040.00000000000,SAN PABLO RIO MAGDALENA  - AUT [23207040],Limnigráfica,Automática con Telemetría,Activa,1977/07/14,62.00000000000,7.48033333000,-73.91855556000,Bolívar,San Pablo (Bolívar),Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,Magdalena,,Directos al Magdalena (Brazo Morales),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9005116"
200.00000000000,16057030.00000000000,LA CABANA - AUT [16057030],Limnigráfica,Automática con Telemetría,Activa,1971/10/14,1220.00000000000,8.19780556000,-73.31825000000,Norte de Santander,Ocaña,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,"Con orfeo 20197080001663 enviado por la coordinadora del área operativa se pide entre otras, la corrección de categoría, estados y tecnología de algunas estaciones del área operativa",Algodonal,,Río Algodonal (Alto Catatumbo),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9003734"
201.00000000000,16017020.00000000000,LA DONJUANA - AUT [16017020],Limnigráfica,Automática con Telemetría,Activa,1972/08/15,730.00000000000,7.68797222000,-72.60547222000,Norte de Santander,Chinácota,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,,Pamplonita,,Río Pamplonita,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9005068"
205.00000000000,25017020.00000000000,SAN PEDRO - AUT [25017020],Limnigráfica,Automática con Telemetría,Activa,1989/05/15,50.00000000000,7.85388889000,-75.70972222000,Córdoba,Puerto Libertador,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,,San Pedro,,Alto San Jorge,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9004322"
207.00000000000,25027020.00000000000,EL BANCO - AUT [25027020],Limnigráfica,Automática con Telemetría,Activa,1934/01/15,29.00000000000,8.99252778000,-73.96944444000,Magdalena,El Banco,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Cesar,,Magdalena,,Bajo Cesar,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9002565"
209.00000000000,15067020.00000000000,CERCADO EL-AUTOMAT [15067020],Limnigráfica,Convencional,Activa,2004/09/04,335.00000000000,10.90750000000,-73.00833333000,La Guajira,Fonseca,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,,Rancheria,,Río Ranchería,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9000312"
225.00000000000,25027450.00000000000,PLATO MAGDALENA [25027450],Limnimétrica,Convencional,Activa,1964/08/15,16.00000000000,9.78777778000,-74.80583333000,Magdalena,Plato,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,,Magdalena,,Directos Bajo Magdalena entre El Banco y El Plato,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9001418"
228.00000000000,23217080.00000000000,GAMARRA - AUT [23217080],Limnigráfica,Automática con Telemetría,Activa,2011/12/12,40.00000000000,8.28428611000,-73.75338889000,Cesar,Gamarra,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,,Magdalena,,Quebrada El Carmen y Otros Directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9003537"
232.00000000000,29037080.00000000000,GAMBOTE CANAL DEL [29037080],Limnigráfica,Automática con Telemetría,Activa,2012/04/27,4.00000000000,10.16222222000,-75.29861111000,Bolívar,Arjona,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,,Canal Del Dique,,Canal del Dique margen derecho,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9001122"
238.00000000000,13057010.00000000000,NUEVA COLOMBIA [13057010],Limnigráfica,Convencional,Activa,1990/06/15,20.00000000000,8.49944444000,-75.97861111000,Córdoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Sinú,,Sinu,,Medio Sinú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9003202"
239.00000000000,29047070.00000000000,SAN PEDRITO - AUT [29047070],Limnigráfica,Automática con Telemetría,Activa,1978/05/15,8.00000000000,10.26822222000,-74.90786111000,Atlantico,Suan,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,,Magdalena,,Canal del Dique margen derecho,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9000896"
242.00000000000,14019030.00000000000,ESCUELA NAVAL CIOH - AUT [14019030],Limnigráfica,Automática con Telemetría,Activa,1991/07/15,1.00000000000,10.39056389000,-75.53383056000,Bolívar,Cartagena De Indias,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Caribe - Litoral,,Mar Caribe,,Arroyos Directos al Caribe,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
249.00000000000,13067020.00000000000,MONTERIA  - AUT [13067020],Limnigráfica,Automática con Telemetría,Activa,1963/02/15,15.00000000000,8.75161111000,-75.89241667000,Córdoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Sinú,,Sinu,,Bajo Sinú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9002899"
252.00000000000,35167000.00000000000,CORPOBOYACA - SANTA INES -AUT [35167000],Limnigráfica,Automática con Telemetría,Activa,2016/12/31,3041.00000000000,5.54500000000,-72.88411111000,Boyacá,Aquitania,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Lago De Tota,,Lago de Tota,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009050"
253.00000000000,35167020.00000000000,CRIADERO -AUT [35167020],Limnigráfica,Automática con Telemetría,Activa,2016/12/31,3025.00000000000,5.55700000000,-72.88047222000,Boyacá,Aquitania,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Qda Los Pozos,,Lago de Tota,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009050"
254.00000000000,35217090.00000000000,LABRANZA GRANDE AUT [35217090],Limnigráfica,Automática con Telemetría,Activa,2016/12/15,1125.00000000000,5.56691667000,-72.58355556000,Boyacá,Labranzagrande,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Rio Cravo Sur,,Río Cravo Sur,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9008668"
256.00000000000,29047000.00000000000,TEBSA BQUILLA [29047000],Limnigráfica,Automática con Telemetría,Activa,2013/05/05,6.00000000000,10.93663889000,-74.75988889000,Atlantico,Soledad,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,,Rio Magdalena,,Directos al Bajo Magdalena entre Calamar y desembocadura,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9000308"
258.00000000000,15067220.00000000000,PUENTE CARRETERA [15067220],Limnigráfica,Automática con Telemetría,Activa,2011/12/01,7.00000000000,11.51097222000,-72.85594444000,La Guajira,Riohacha,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,,Rio Rancheria,,Río Ranchería,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9000091"
279.00000000000,25027270.00000000000,LAS FLORES [25027270],Limnimétrica,Convencional,Activa,1968/06/15,22.00000000000,8.10241667000,-74.77344444000,Antioquia,Nechí,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,,Cauca,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9003786"
291.00000000000,3518700144.99999952316,TUA BALNEARIO - AUT [ ],Limnigráfica,Automática con Telemetría,Activa,2018/09/17,412.00000000000,4.88565000000,-72.90088889000,Casanare,Monterrey,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,Solicitado por correo electrónico por Jorge Andrés González FA,"1249",,Río Túa y otros directos al Meta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9010621"
